ticker,first_eligible_date,last_eligible_date,eligibility_basis,source,confidence,notes
SAIA,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SAIA; raw_first_quoted_date=2002-09-11
SNDR,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SNDR; raw_first_quoted_date=2017-04-06
RXO,2022-10-27,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=RXO; raw_first_quoted_date=2022-10-27
ARCB,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ARCB; raw_first_quoted_date=1992-05-13
WERN,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=WERN; raw_first_quoted_date=1990-01-02
MRTN,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=MRTN; raw_first_quoted_date=1990-01-02
CVLG,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CVLG; raw_first_quoted_date=1994-10-28
HTLD,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=HTLD; raw_first_quoted_date=1990-01-02
ULH,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ULH; raw_first_quoted_date=2005-02-11
PAMT,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PAMT; raw_first_quoted_date=1990-01-02
TOPP,2025-01-22,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=TOPP; raw_first_quoted_date=2025-01-22
KNX,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=KNX; raw_first_quoted_date=2010-12-16
R,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=R; raw_first_quoted_date=1990-01-02
LCC,1994-08-26,2013-12-06,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=LCC; norgate_symbol=LCC-201312
NWA,2007-05-18,2008-10-29,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=NWA; norgate_symbol=NWA-200810
CAL,1993-07-14,2010-09-30,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=CAL; norgate_symbol=CAL-201009
AAI,1994-06-28,2011-05-02,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=AAI; norgate_symbol=AAI-201105
VA,2014-11-14,2016-12-13,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=VA; norgate_symbol=VA-201612
HA,1995-06-21,2024-09-17,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=HA; norgate_symbol=HA-202409
SAVE,2011-05-26,2025-03-12,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=SAVE; norgate_symbol=SAVEQ-202503
AAWW,2004-07-21,2023-03-17,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=AAWW; norgate_symbol=AAWW-202303
ATSG,2003-07-23,2025-04-10,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=ATSG; norgate_symbol=ATSG-202504
AYR,2006-08-08,2020-03-27,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=AYR; norgate_symbol=AYR-202003
FLY,2007-09-27,2021-08-02,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=FLY; norgate_symbol=FLY-202108
PNCL,2003-11-25,2013-05-01,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=PNCL; norgate_symbol=PNCLQ-201305
RJET,2004-05-27,2017-04-28,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=RJET; norgate_symbol=RJETQ-201704
GNRT,2015-06-25,2018-06-11,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=GNRT; norgate_symbol=GNRT-201806
NM,2005-01-06,2023-12-13,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=NM; norgate_symbol=NM-202312
NNA,2008-07-07,2021-10-14,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=NNA; norgate_symbol=NNA-202110
DRYS,2005-02-03,2019-10-10,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=DRYS; norgate_symbol=DRYS-201910
TGP,2005-05-05,2022-01-12,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=TGP; norgate_symbol=TGP-202201
GLOG,2012-03-30,2021-06-08,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=GLOG; norgate_symbol=GLOG-202106
GLOP,2014-05-07,2023-07-12,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=GLOP; norgate_symbol=GLOP-202307
ATCO,2005-08-09,2023-03-27,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=ATCO; norgate_symbol=ATCO-202303
EGLE,2005-06-23,2024-04-08,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=EGLE; norgate_symbol=EGLE-202404
OSG,2015-12-01,2024-07-09,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=OSG; norgate_symbol=OSG-202407
GMLP,2011-04-08,2021-04-15,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=GMLP; norgate_symbol=GMLP-202104
TOO,2006-12-14,2020-01-22,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=TOO; norgate_symbol=TOO-202001
HRZ,2005-09-27,2015-06-01,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=HRZ; norgate_symbol=HRZL-201506
EXM,1990-01-02,2014-02-14,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=EXM; norgate_symbol=EXMCQ-201402
KSU,1990-01-02,2021-12-13,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=KSU; norgate_symbol=KSU-202112
BNI,1990-01-02,2010-02-12,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=BNI; norgate_symbol=BNI-201002
GWR,1996-06-25,2019-12-27,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=GWR; norgate_symbol=GWR-201912
PWX,1990-01-02,2016-11-01,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=PWX; norgate_symbol=PWX-201611
SWFT,1990-06-29,2007-05-10,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=SWFT; norgate_symbol=SWFT-200705
USX,2018-06-14,2023-06-30,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=USX; norgate_symbol=USX-202306
USAK,1992-03-19,2022-09-14,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=USAK; norgate_symbol=USAK-202209
CNW,1990-01-02,2015-10-29,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=CNW; norgate_symbol=CNW-201510
