internal_ticker,actual_ticker,norgate_symbol,source_database,company_name,norgate_security_name,first_quoted_date,last_quoted_date,eligibility_end_date,mapping_status,mapping_reason,name_similarity,exit_year,calibration_usable_flag,review_status,notes
CMDB,CMDB,CMDB,US Equities,Costamare Bulkers Holdings Limited,Costamare Bulkers Holdings Ltd Common,2025-05-01,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
GASS,GASS,GASS,US Equities,StealthGas Inc.,StealthGas Inc Common,2005-10-06,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
SHIP,SHIP,SHIP,US Equities,Seanergy Maritime Holdings Corp,Seanergy Maritime Holdings Corp Common,2007-10-26,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
DSX,DSX,DSX,US Equities,Diana Shipping Inc.,Diana Shipping Inc Common,2005-03-18,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
SMHI,SMHI,SMHI,US Equities,SEACOR Marine Holdings Inc.,SEACOR Marine Holdings Inc Common,2017-06-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
EDRY,EDRY,EDRY,US Equities,EuroDry Ltd.,Eurodry Ltd Common,2018-05-31,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
HMR,HMR,HMR,US Equities,Heidmar Maritime Holdings Corp.,Heidmar Maritime Holdings Corp Common,2025-02-20,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
GLBS,GLBS,GLBS,US Equities,Globus Maritime Limited,Globus Maritime Ltd Common,2008-03-11,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
NCT,NCT,NCT,US Equities,Intercont (Cayman) Limited,Intercont (Cayman) Ltd Class A Common,2025-03-28,,,verified_exact_active,exact_active_symbol_and_name_match,0.800000,,1,auto_verified,
HTCO,HTCO,HTCO,US Equities,High-Trend International Group,High-Trend International Group Class A Common,2021-09-27,,,verified_exact_active,exact_active_symbol_and_name_match,0.857143,,1,auto_verified,
USEA,USEA,USEA,US Equities,United Maritime Corporation,United Maritime Corp Common,2022-07-06,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
UFG,UFG,UFG,US Equities,Uni-Fuels Holdings Limited,Uni-Fuels Holdings Ltd Class A Common,2025-01-14,,,verified_exact_active,exact_active_symbol_and_name_match,0.692308,,1,auto_verified,
EHLD,EHLD,EHLD,US Equities,Euroholdings Ltd.,Euroholdings Ltd Common,2025-03-11,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
VNTG,VNTG,VNTG,US Equities,Vantage Corp,Vantage Corp Class A Common,2025-06-12,,,verified_exact_active,exact_active_symbol_and_name_match,0.636364,,1,auto_verified,
PSHG,PSHG,PSHG,US Equities,Performance Shipping Inc.,Performance Shipping Inc Common,2011-01-03,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CTRM,CTRM,CTRM,US Equities,Castor Maritime Inc.,Castor Maritime Inc Common,2019-02-11,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
ICON,ICON,ICON,US Equities,Icon Energy Corp.,Icon Energy Corp Common,2024-07-12,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CISS,CISS,CISS,US Equities,C3is Inc.,C3is Inc Common,2023-06-14,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
RUBI,RUBI,RUBI,US Equities,Rubico Inc.,Rubico Inc Common,2025-08-04,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
