ticker,investability_status,company_name,cik,exchange,sector,industry,subsector,country,currency,security_type,listing_status,is_primary_listing,calibration_cohort
CISS,investable,C3is Inc.,1951067,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
RUBI,investable,Rubico Inc.,1943421,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
UNP,investable,Union Pacific Corporation,100885,NYSE,Industrials,Railroads,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
CSX,investable,CSX Corporation,277948,Nasdaq,Industrials,Railroads,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
CP,investable,Canadian Pacific Kansas City Limited,16875,NYSE,Industrials,Railroads,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
CNI,investable,Canadian National Railway Company,16868,NYSE,Industrials,Railroads,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
NSC,investable,Norfolk Southern Corporation,702165,NYSE,Industrials,Railroads,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
TRN,investable,"Trinity Industries, Inc.",99780,NYSE,Industrials,Railroads,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
GBX,investable,"The Greenbrier Companies, Inc.",923120,NYSE,Industrials,Railroads,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
FSTR,investable,L.B. Foster Company,352825,Nasdaq,Industrials,Railroads,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
RAIL,investable,"FreightCar America, Inc.",1320854,Nasdaq,Industrials,Railroads,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
SWVL,investable,Swvl Holdings Corp.,1875609,Nasdaq,Industrials,Railroads,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
RVSN,investable,Rail Vision Ltd.,1743905,Nasdaq,Industrials,Railroads,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
GATX,investable,GATX Corporation,40211,NYSE,Industrials,Rental & Leasing Services,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
ODFL,investable,"Old Dominion Freight Line, Inc.",878927,Nasdaq,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
XPO,investable,"XPO, Inc.",1166003,NYSE,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
TFII,investable,TFI International Inc.,1588823,NYSE,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
SAIA,investable,"Saia, Inc.",1177702,Nasdaq,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
SNDR,investable,"Schneider National, Inc.",1692063,NYSE,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
RXO,investable,"RXO, Inc.",1929561,NYSE,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
ARCB,investable,ArcBest Corporation,894405,Nasdaq,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
WERN,investable,"Werner Enterprises, Inc.",793074,Nasdaq,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
MRTN,investable,"Marten Transport, Ltd.",799167,Nasdaq,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
CVLG,investable,"Covenant Logistics Group, Inc.",928658,NYSE,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
HTLD,investable,"Heartland Express, Inc.",799233,Nasdaq,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
ULH,investable,"Universal Logistics Holdings, Inc.",1308208,Nasdaq,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
PAMT,investable,PAMT CORP,798287,Nasdaq,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
TOPP,investable,Toppoint Holdings Inc.,1960847,NYSE,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
KNX,investable,Knight-Swift Transportation Holdings Inc.,1492691,NYSE,Industrials,Trucking,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
R,investable,"Ryder System, Inc.",85961,NYSE,Industrials,Rental & Leasing Services,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
