internal_ticker,exchange_ticker,price_source_symbol,company_name,cik,exchange,country,currency,security_type,calibration_cohort_id,calibration_cohort,start_date,end_date,eligibility_basis,membership_status,successor_ticker,event_type,confidence,source_url,notes
ELOG,ELOG,ELOG,Eastern International Ltd.,0002013320,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2025-08-28,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
JYD,JYD,JYD,Jayud Global Logistics Limited,0001938186,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2023-04-21,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CTNT,CTNT,CTNT,Cheetah Net Supply Chain Service Inc.,0001951667,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2023-08-01,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
ATXG,ATXG,ATXG,Addentax Group Corp.,0001650101,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CIIT,CIIT,CIIT,"Tianci International, Inc.",0001557798,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
HUBG,HUBG,HUBG,"Hub Group, Inc.",0000940942,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
ZTO,ZTO,ZTO,ZTO Express (Cayman) Inc.,0001677250,NYSE,China,USD,Ordinary Shares,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
KEX,KEX,KEX,Kirby Corporation,0000056047,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
MATX,MATX,MATX,"Matson, Inc.",0000003453,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
HAFN,HAFN,HAFN,Hafnia Limited,0001815779,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2024-04-09,,separate_listing_optional_issuer_proxy,active,,cross_listing_separate_security,1.00,https://investor.hafnia.com/ir-news/news-details/2024/Hafnia-Limited---Commencement-of-Trading-and-Admission-to-Trading-on-NYSE-2024-KD4CwR8JZj/default.aspx,separate_listing_optional_issuer_proxy; NYSE HAFN and Oslo HAFNI are separate trading venues for the same common shares; never append local closes directly to the NYSE series.
ZIM,ZIM,ZIM,ZIM Integrated Shipping Services Ltd.,0001654126,NYSE,United States,USD,Ordinary Shares,marine_shipping_and_maritime,Marine Shipping & Maritime,2021-01-28,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
