ticker,calibration_company_ticker,company_name,cik,cusip,share_class_figi,norgate_symbol,cohort,price_start_date,price_end_date,terminal_date,recovery_type,equity_recovery,terminal_recovery_effective,terminal_treatment_status,terminal_consideration,drop_otc_tape,verification_status,source_candidate_row_status
KITE,KITE-201710,Kite Pharma Inc.,0001510580,49803L109,BBG006SP8XY9,KITE-201710,platform_partnered_modality_pipeline,2014-06-20,2017-10-02,2017-10-02,,,180.000000,parsed_cash_only_consideration,$180.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
LOXO,LOXO-201902,Loxo Oncology Inc.,0001581720,548862101,BBG00680MQL8,LOXO-201902,late_clinical_pivotal_or_registrational,2014-08-01,2019-02-14,2019-02-14,,,235.000000,parsed_cash_only_consideration,$235.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
MDCO,MDCO-202001,The Medicines Company,0001113481,584688105,BBG000BRLB90,MDCO-202001,late_clinical_pivotal_or_registrational,2000-08-08,2020-01-03,2020-01-03,,,85.000000,parsed_cash_only_consideration,$85.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
MEDI,MEDI-200706,MedImmune Inc.,0000873591,584699102,BBG000BDT0J6,MEDI-200706,commercial_profitable_quality_or_mature,1991-05-08,2007-06-18,2007-06-18,,,58.000000,parsed_cash_only_consideration,$58.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
MLNT,MLNTQ-202004,Melinta Therapeutics Inc.,0001111665,58549G209,BBG000BHXDV1,MLNTQ-202004,commercial_turnaround_or_unprofitable_growth,2012-02-03,2020-04-17,2020-04-20,wipeout,0.00,0.000000,explicit_equity_recovery,Verified hard-zero terminal recovery; old common extinguished,true,norgate_price_identity_mapped_pending_final_review,strict_usable
OMGA,OMGAQ-202508,Omega Therapeutics Inc.,0001850838,68217N105,BBG00WCNQZQ1,OMGAQ-202508,platform_partnered_modality_pipeline,2021-07-30,2025-08-08,2025-08-08,wipeout,0.00,0.000000,explicit_equity_recovery,Verified hard-zero terminal recovery; common equity wipeout,true,norgate_price_identity_mapped_pending_final_review,strict_usable
ONCE,ONCE-201912,Spark Therapeutics Inc.,0001609351,846517100,BBG006X09RY9,ONCE-201912,platform_partnered_modality_pipeline,2015-01-30,2019-12-16,2019-12-16,,,114.500000,parsed_cash_only_consideration,$114.50 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
PCYC,PCYC-201505,Pharmacyclics Inc.,0000949699,06740P403,BBG000BM6G18,PCYC-201505,commercial_profitable_quality_or_mature,1995-10-24,2015-05-22,2015-05-22,cash_stock,295.670851,295.670851,explicit_equity_recovery,$152.25 cash + 2.1903 ABBV shares per PCYC share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
PGNX,PGNX-202006,Progenics Pharmaceuticals Inc.,0000835887,743187106,BBG000BCK8B8,PGNX-202006,commercial_turnaround_or_unprofitable_growth,1997-11-19,2020-06-19,2020-06-19,stock_cvr,3.707500,3.707500,explicit_equity_recovery,0.25 LNTH shares + 1 non-tradeable CVR per PGNX share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
RCPT,RCPT-201508,Receptos Inc.,0001463729,756207106,BBG0049C2M52,RCPT-201508,late_clinical_pivotal_or_registrational,2013-05-09,2015-08-27,2015-08-27,,,232.000000,parsed_cash_only_consideration,$232.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
RXDX,RXDX-202306,Prometheus Biosciences Inc.,0001718852,74349U108,BBG00Y2H06Q1,RXDX-202306,early_clinical_speculative_or_single_asset_pipeline,2021-03-12,2023-06-15,2023-06-15,,,200.000000,parsed_cash_only_consideration,$200.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
SYBX,SYBX,Synlogic Inc.,0001527599,87166L209,BBG007K7Z014,SYBX,platform_partnered_modality_pipeline,2015-10-01,2026-06-26,2026-01-20,wipeout,0.00,0.000000,explicit_equity_recovery,Verified hard-zero terminal recovery; common equity wipeout,true,norgate_price_identity_mapped_pending_final_review,strict_usable
TBIO,TBIO-202109,Translate Bio Inc.,0001693415,89374L104,BBG009S63Y96,TBIO-202109,platform_partnered_modality_pipeline,2018-06-28,2021-09-13,2021-09-13,,,38.000000,parsed_cash_only_consideration,$38.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
TPTX,TPTX-202208,Turning Point Therapeutics Inc.,0001595893,90041T108,BBG00N7K0Z36,TPTX-202208,early_clinical_speculative_or_single_asset_pipeline,2019-04-17,2022-08-16,2022-08-16,,,76.000000,parsed_cash_only_consideration,$76.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
TRIL,TRIL-202111,Trillium Therapeutics Inc.,0001616212,89620X506,BBG001S87P75,TRIL-202111,early_clinical_speculative_or_single_asset_pipeline,2005-03-23,2021-11-16,2021-11-16,,,18.500000,parsed_cash_only_consideration,$18.50 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
TSRO,TSRO-201901,Tesaro Inc.,0001491576,881569107,BBG0029K6P64,TSRO-201901,late_clinical_pivotal_or_registrational,2012-06-28,2019-01-18,2019-01-18,,,75.000000,parsed_cash_only_consideration,$75.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
TTPH,TTPH-202007,Tetraphase Pharmaceuticals Inc.,0001373707,88165N204,BBG0030W96W2,TTPH-202007,commercial_turnaround_or_unprofitable_growth,2013-03-20,2020-07-28,2020-07-28,cash_cvr,2.00,2.000000,explicit_equity_recovery,$2.00 cash plus 1 CVR per share,true,norgate_price_identity_mapped_pending_final_review,strict_usable
VRUS,VRUS-201201,Pharmasset Inc.,0001301081,71715N106,BBG000C872X6,VRUS-201201,late_clinical_pivotal_or_registrational,2007-04-27,2012-01-17,2012-01-17,,,137.000000,parsed_cash_only_consideration,$137.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
VVUS,VVUSQ-202012,Vivus Inc.,0000881524,928551308,BBG000BDBH25,VVUSQ-202012,commercial_turnaround_or_unprofitable_growth,1994-04-07,2020-12-11,2020-12-11,wipeout,0.00,0.000000,explicit_equity_recovery,$0.00 common equity recovery; hard-zero wipeout at private/reorganization terminal date,true,norgate_price_identity_mapped_pending_final_review,strict_usable
ZSPH,ZSPH-201512,ZS Pharma Inc.,0001459266,98979G105,BBG006BL6K24,ZSPH-201512,late_clinical_pivotal_or_registrational,2014-06-18,2015-12-16,2015-12-16,,,90.000000,parsed_cash_only_consideration,$90.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
