ticker,investability_status,company_name,cik,exchange,sector,industry,subsector,country,currency,security_type,listing_status,is_primary_listing
SPB,investable,"Spectrum Brands Holdings, Inc.",109177,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
EPC,investable,Edgewell Personal Care Company,1096752,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
ODD,investable,Oddity Tech Ltd.,1907085,Nasdaq,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Ordinary Shares,active,TRUE
HNST,investable,"The Honest Company, Inc.",1530979,Nasdaq,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
NUS,investable,"Nu Skin Enterprises, Inc.",1021561,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
MO,investable,"Altria Group, Inc.",764180,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
PM,investable,Philip Morris International Inc.,1413329,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
BTI,investable,British American Tobacco p.l.c.,1303523,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,ADR/ADS,active,TRUE
ENR,investable,"Energizer Holdings, Inc.",1632790,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
ODC,investable,Oil-Dri Corporation of America,74046,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
REYN,investable,Reynolds Consumer Products Inc.,1786431,Nasdaq,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
TPB,investable,"Turning Point Brands, Inc.",1290677,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
UL,investable,Unilever PLC,217410,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,ADR/ADS,active,TRUE
UVV,investable,Universal Corporation,102037,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
WDFC,investable,WD-40 Company,105132,Nasdaq,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
JBS,investable,JBS N.V.,1791942,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
KHC,investable,The Kraft Heinz Company,1637459,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
GIS,investable,"General Mills, Inc.",40704,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
MKC,investable,"McCormick & Company, Incorporated",63754,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
