ticker,first_eligible_date,last_eligible_date,eligibility_basis,source,confidence,notes
HOVR,2023-04-03,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2023-04-03; prior_membership_start=2010-01-01; prior_membership_end=
HWM,2016-11-01,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2016-11-01; prior_membership_start=2010-01-01; prior_membership_end=
HXL,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
ISSC,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
KBR,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
KRMN,2025-02-13,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2025-02-13; prior_membership_start=2010-01-01; prior_membership_end=
KTOS,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
LDOS,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
LHX,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
LMT,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
LOAR,2024-04-25,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2024-04-25; prior_membership_start=2010-01-01; prior_membership_end=
LUNR,2021-11-17,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2021-11-17; prior_membership_start=2010-01-01; prior_membership_end=
MDA,2026-03-12,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2026-03-12; prior_membership_start=2010-01-01; prior_membership_end=
MNTS,2020-01-02,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2020-01-02; prior_membership_start=2010-01-01; prior_membership_end=
MOB,2022-08-25,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2022-08-25; prior_membership_start=2010-01-01; prior_membership_end=
MOG-A,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
MOG-B,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
MRCY,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
MRLN,2024-12-02,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2024-12-02; prior_membership_start=2010-01-01; prior_membership_end=
NOC,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
NPK,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
OPXS,2010-05-03,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-05-03; prior_membership_start=2010-01-01; prior_membership_end=
OSIS,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
PKE,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
PL,2021-04-26,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2021-04-26; prior_membership_start=2010-01-01; prior_membership_end=
PLTR,2020-09-30,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2020-09-30; prior_membership_start=2010-01-01; prior_membership_end=
POWW,2017-02-07,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2017-02-07; prior_membership_start=2010-01-01; prior_membership_end=
PSN,2019-05-08,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2019-05-08; prior_membership_start=2010-01-01; prior_membership_end=
RCAT,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
RDW,2021-01-14,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2021-01-14; prior_membership_start=2010-01-01; prior_membership_end=
