ticker,company_name,universe_role,calibration_cohort,industry,primary_archetype,applicability_tags,development_overlay,review_status,review_reason
GSL,"Global Ship Lease, Inc.",active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
GWR,Genesee & Wyoming,delisted_usable,surface_freight_and_logistics,Railroads,surface_rail_operator,surface_rail_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Railroads
GXO,"GXO Logistics, Inc.",active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
HA,Hawaiian Holdings,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
HAFN,Hafnia Limited,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
HMR,Heidmar Maritime Holdings Corp.,active,development_stage_and_speculative_transport,Marine Shipping,marine_services,development_all|marine_operator|marine_services,1,ticker_exception_reviewed,commercial fleet manager with operating-fleet disclosures
HRZ,Horizon Lines,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
HSHP,Himalaya Shipping Ltd.,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
HTCO,High-Trend International Group,active,development_stage_and_speculative_transport,Marine Shipping,marine_services,development_all|marine_services|surface_logistics,1,ticker_exception_reviewed,international freight and logistics services rather than vessel operator
HTLD,"Heartland Express, Inc.",active,surface_freight_and_logistics,Trucking,surface_trucking,surface_trucking,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Trucking
HUBG,"Hub Group, Inc.",active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
ICON,Icon Energy Corp.,active,development_stage_and_speculative_transport,Marine Shipping,marine_operator,development_all|marine_operator,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Marine Shipping
JBHT,"J.B. Hunt Transport Services, Inc.",active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics|surface_trucking,0,ticker_exception_reviewed,multimodal logistics with material asset-based trucking operations
JBLU,JetBlue Airways Corporation,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
JOBY,"Joby Aviation, Inc.",active,development_stage_and_speculative_transport,Airports & Air Services,precommercial_transport,development_all|precommercial_transport|ramping|regulated_precommercial,1,ticker_exception_reviewed,precommercial certified air-mobility platform
JYD,Jayud Global Logistics Limited,active,development_stage_and_speculative_transport,Integrated Freight & Logistics,surface_logistics,development_all|surface_logistics,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Integrated Freight & Logistics
KEX,Kirby Corporation,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
KNX,Knight-Swift Transportation Holdings Inc.,active,surface_freight_and_logistics,Trucking,surface_trucking,surface_trucking,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Trucking
KSU,Kansas City Southern,delisted_usable,surface_freight_and_logistics,Railroads,surface_rail_operator,surface_rail_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Railroads
LCC,US Airways Group,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
LSTR,"Landstar System, Inc.",active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
LTM,LATAM Airlines Group S.A.,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
LUV,Southwest Airlines Co.,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
MATX,"Matson, Inc.",active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator|surface_logistics,0,ticker_exception_reviewed,ocean transportation with material logistics operations
MRTN,"Marten Transport, Ltd.",active,surface_freight_and_logistics,Trucking,surface_trucking,surface_trucking,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Trucking
NCEW,New Century Logistics (BVI) Limited,active,development_stage_and_speculative_transport,Integrated Freight & Logistics,surface_logistics,development_all|surface_logistics,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Integrated Freight & Logistics
NCT,Intercont (Cayman) Limited,active,development_stage_and_speculative_transport,Marine Shipping,marine_operator,development_all|marine_operator,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Marine Shipping
NM,Navios Maritime Holdings,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
NNA,Navios Maritime Acquisition,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
NSC,Norfolk Southern Corporation,active,surface_freight_and_logistics,Railroads,surface_rail_operator,surface_rail_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Railroads
NWA,Northwest Airlines Corp,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
ODFL,"Old Dominion Freight Line, Inc.",active,surface_freight_and_logistics,Trucking,surface_trucking,surface_trucking,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Trucking
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",active,air_transport_and_aviation_services,Airports & Air Services,airport_operator,airport_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airports & Air Services
OSG,Overseas Shipholding Group,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
PAC,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",active,air_transport_and_aviation_services,Airports & Air Services,airport_operator,airport_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airports & Air Services
PACR,Pacer International,delisted_usable,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
PAL,"Proficient Auto Logistics, Inc.",active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
